ttc_lidar,ttc_camera,detector,descriptor,frame
12.972159,154.75371,ORB,BRISK,1
12.264038,8.749301,ORB,BRISK,2
13.916132,20.012005,ORB,BRISK,3
14.886526,10.337248,ORB,BRISK,4
12.187262,19.516941,ORB,BRISK,5
7.501993,10.230678,ORB,BRISK,6
34.34042,13.040516,ORB,BRISK,7
18.787518,9.160841,ORB,BRISK,8
15.889385,0,ORB,BRISK,9
13.729655,11.475885,ORB,BRISK,10
10.491403,7.472261,ORB,BRISK,11
10.099996,0,ORB,BRISK,12
9.223069,9.038043,ORB,BRISK,13
10.967763,0,ORB,BRISK,14
8.094218,0,ORB,BRISK,15
8.813924,0,ORB,BRISK,16
10.292551,27.811702,ORB,BRISK,17
8.309779,29.889984,ORB,BRISK,18
12.972159,13.605918,ORB,BRIEF,1
12.264038,263.418184,ORB,BRIEF,2
13.916132,17.744104,ORB,BRIEF,3
14.886526,81.974015,ORB,BRIEF,4
12.187262,22.111966,ORB,BRIEF,5
7.501993,0,ORB,BRIEF,6
34.34042,409.323407,ORB,BRIEF,7
18.787518,81.671095,ORB,BRIEF,8
15.889385,10.572963,ORB,BRIEF,9
13.729655,94.887709,ORB,BRIEF,10
10.491403,12.58657,ORB,BRIEF,11
10.099996,19.737011,ORB,BRIEF,12
9.223069,16.516235,ORB,BRIEF,13
10.967763,25.883387,ORB,BRIEF,14
8.094218,15.520263,ORB,BRIEF,15
8.813924,10.379741,ORB,BRIEF,16
10.292551,18.760681,ORB,BRIEF,17
8.309779,18.640157,ORB,BRIEF,18
12.972159,29.014502,ORB,ORB,1
12.264038,0,ORB,ORB,2
13.916132,12.966712,ORB,ORB,3
14.886526,13.54398,ORB,ORB,4
12.187262,0,ORB,ORB,5
7.501993,21.060413,ORB,ORB,6
34.34042,0,ORB,ORB,7
18.787518,0,ORB,ORB,8
15.889385,0,ORB,ORB,9
13.729655,0,ORB,ORB,10
10.491403,9.416434,ORB,ORB,11
10.099996,0,ORB,ORB,12
9.223069,19.153917,ORB,ORB,13
10.967763,7.932494,ORB,ORB,14
8.094218,8.610392,ORB,ORB,15
8.813924,13.277565,ORB,ORB,16
10.292551,21.869151,ORB,ORB,17
8.309779,38.66193,ORB,ORB,18
12.972159,6.465508,ORB,FREAK,1
12.264038,47.91996,ORB,FREAK,2
13.916132,8.651685,ORB,FREAK,3
14.886526,12.576109,ORB,FREAK,4
12.187262,42.520241,ORB,FREAK,5
7.501993,10.126136,ORB,FREAK,6
34.34042,27.175091,ORB,FREAK,7
18.787518,20.904582,ORB,FREAK,8
15.889385,0,ORB,FREAK,9
13.729655,0,ORB,FREAK,10
10.491403,15.721791,ORB,FREAK,11
10.099996,35.564058,ORB,FREAK,12
9.223069,6.933708,ORB,FREAK,13
10.967763,644.817398,ORB,FREAK,14
8.094218,8.723627,ORB,FREAK,15
8.813924,7.35272,ORB,FREAK,16
10.292551,32.197388,ORB,FREAK,17
8.309779,7.475317,ORB,FREAK,18
12.972159,0,ORB,SIFT,1
12.264038,8.749301,ORB,SIFT,2
13.916132,0,ORB,SIFT,3
14.886526,12.06698,ORB,SIFT,4
12.187262,0,ORB,SIFT,5
7.501993,8.902111,ORB,SIFT,6
34.34042,0,ORB,SIFT,7
18.787518,10.085496,ORB,SIFT,8
15.889385,0,ORB,SIFT,9
13.729655,0,ORB,SIFT,10
10.491403,9.098363,ORB,SIFT,11
10.099996,0,ORB,SIFT,12
9.223069,-0.297521,ORB,SIFT,13
10.967763,0,ORB,SIFT,14
8.094218,13.698939,ORB,SIFT,15
8.813924,0,ORB,SIFT,16
10.292551,12.372025,ORB,SIFT,17
8.309779,32.519806,ORB,SIFT,18
12.972159,12.348347,AKAZE,BRISK,1
12.264038,15.108799,AKAZE,BRISK,2
13.916132,14.203836,AKAZE,BRISK,3
14.886526,14.006785,AKAZE,BRISK,4
12.187262,15.03162,AKAZE,BRISK,5
7.501993,14.897577,AKAZE,BRISK,6
34.34042,16.404912,AKAZE,BRISK,7
18.787518,13.735729,AKAZE,BRISK,8
15.889385,14.766624,AKAZE,BRISK,9
13.729655,11.771458,AKAZE,BRISK,10
10.491403,12.511278,AKAZE,BRISK,11
10.099996,10.530102,AKAZE,BRISK,12
9.223069,10.107977,AKAZE,BRISK,13
10.967763,9.741755,AKAZE,BRISK,14
8.094218,9.373547,AKAZE,BRISK,15
8.813924,10.304318,AKAZE,BRISK,16
10.292551,9.029672,AKAZE,BRISK,17
8.309779,9.073016,AKAZE,BRISK,18
12.972159,13.713824,AKAZE,BRIEF,1
12.264038,14.857693,AKAZE,BRIEF,2
13.916132,14.25481,AKAZE,BRIEF,3
14.886526,16.026485,AKAZE,BRIEF,4
12.187262,16.527312,AKAZE,BRIEF,5
7.501993,13.267532,AKAZE,BRIEF,6
34.34042,16.752012,AKAZE,BRIEF,7
18.787518,14.030974,AKAZE,BRIEF,8
15.889385,19.005895,AKAZE,BRIEF,9
13.729655,12.17196,AKAZE,BRIEF,10
10.491403,13.21987,AKAZE,BRIEF,11
10.099996,11.022754,AKAZE,BRIEF,12
9.223069,10.054801,AKAZE,BRIEF,13
10.967763,11.018586,AKAZE,BRIEF,14
8.094218,12.693637,AKAZE,BRIEF,15
8.813924,10.578166,AKAZE,BRIEF,16
10.292551,9.54822,AKAZE,BRIEF,17
8.309779,9.220848,AKAZE,BRIEF,18
12.972159,13.64478,AKAZE,ORB,1
12.264038,14.39939,AKAZE,ORB,2
13.916132,13.872005,AKAZE,ORB,3
14.886526,14.150744,AKAZE,ORB,4
12.187262,14.521027,AKAZE,ORB,5
7.501993,13.636561,AKAZE,ORB,6
34.34042,15.331126,AKAZE,ORB,7
18.787518,13.640949,AKAZE,ORB,8
15.889385,14.903334,AKAZE,ORB,9
13.729655,12.288068,AKAZE,ORB,10
10.491403,13.267889,AKAZE,ORB,11
10.099996,11.317791,AKAZE,ORB,12
9.223069,10.316182,AKAZE,ORB,13
10.967763,10.169124,AKAZE,ORB,14
8.094218,10.260922,AKAZE,ORB,15
8.813924,10.146177,AKAZE,ORB,16
10.292551,9.192262,AKAZE,ORB,17
8.309779,8.806918,AKAZE,ORB,18
12.972159,13.800967,AKAZE,FREAK,1
12.264038,13.606847,AKAZE,FREAK,2
13.916132,13.792754,AKAZE,FREAK,3
14.886526,14.089462,AKAZE,FREAK,4
12.187262,15.984421,AKAZE,FREAK,5
7.501993,14.863955,AKAZE,FREAK,6
34.34042,15.623489,AKAZE,FREAK,7
18.787518,13.199256,AKAZE,FREAK,8
15.889385,13.769648,AKAZE,FREAK,9
13.729655,12.477032,AKAZE,FREAK,10
10.491403,13.09948,AKAZE,FREAK,11
10.099996,11.594099,AKAZE,FREAK,12
9.223069,10.572308,AKAZE,FREAK,13
10.967763,10.421594,AKAZE,FREAK,14
8.094218,10.051695,AKAZE,FREAK,15
8.813924,10.399955,AKAZE,FREAK,16
10.292551,10.000485,AKAZE,FREAK,17
8.309779,8.887276,AKAZE,FREAK,18
12.972159,12.481393,AKAZE,AKAZE,1
12.264038,14.198827,AKAZE,AKAZE,2
13.916132,13.046438,AKAZE,AKAZE,3
14.886526,14.219651,AKAZE,AKAZE,4
12.187262,14.695426,AKAZE,AKAZE,5
7.501993,16.758431,AKAZE,AKAZE,6
34.34042,15.441584,AKAZE,AKAZE,7
18.787518,14.162272,AKAZE,AKAZE,8
